Time,Tweet,Retweets,Likes,President
2007-10-24 22:45,Tune in 11:30 ET tomorrow for a live webcast of Families USA Presidential Forum on health care: http://presidentialforums.health08.org/,5,11,Joe Biden
2007-12-29 15:35,"Iowans, there's a good chance there's a Biden near you today on a cool 14 F day: http://blog.joebiden.com/?p=1625",16,22,Joe Biden
2009-05-04 18:54,Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight!,519,939,Donald Trump
2009-05-05 01:00,Donald Trump will be appearing on The View tomorrow morning to discuss Celebrity Apprentice and his new book Think Like A Champion!,34,259,Donald Trump
2009-05-08 13:38,Donald Trump reads Top Ten Financial Tips on Late Show with David Letterman: http://tinyurl.com/ooafwn - Very funny!,15,37,Donald Trump
2009-05-08 20:40,New Blog Post: Celebrity Apprentice Finale and Lessons Learned Along the Way: http://tinyurl.com/qlux5e,11,29,Donald Trump
